x,y,label
2375.6111111111118,2352.1296296296296,fibroblast of cardiac tissue
4119.796052631579,2272.77850877193,fibroblast of cardiac tissue
4428.543165467626,2418.4964028776976,cardiac muscle myoblast
2326.1032258064515,7968.888172043011,cardiac muscle myoblast
3372.6084905660377,8483.67924528302,cardiac muscle myoblast
2425.082987551867,2613.6846473029045,cardiac muscle myoblast
8558.576923076924,5154.248520710059,cardiac muscle myoblast
8152.641176470588,5618.917647058824,fibroblast of cardiac tissue
6104.663829787234,4159.068085106383,cardiac muscle myoblast
2610.2517006802723,7586.057823129252,cardiac muscle myoblast
4442.2830188679245,1269.691823899371,fibroblast of cardiac tissue
6092.396551724138,3658.771551724138,cardiac endothelial cell
2187.4859813084117,3331.733644859813,native cell
2618.0,5485.035175879397,fibroblast of cardiac tissue
6983.87979539642,2627.608695652174,cardiac endothelial cell
7638.838383838384,6307.459595959596,immature innate lymphoid cell
2061.903225806452,7355.0737327188945,cardiac muscle myoblast
5280.397923875433,5102.176470588235,fibroblast of cardiac tissue
7784.564935064935,3885.435064935065,cardiac muscle myoblast
2238.525547445256,8025.58394160584,cardiac muscle myoblast
6335.925170068027,4131.833333333333,fibroblast of cardiac tissue
2261.4491978609626,7217.764705882353,cardiac muscle myoblast
1662.1802120141342,4259.56890459364,native cell
4826.75,1842.8819444444443,fibroblast of cardiac tissue
3239.427710843373,2790.0662650602408,fibroblast of cardiac tissue
6302.398104265403,1714.3649289099526,cardiac muscle myoblast
2409.615894039735,5686.9668874172185,fibroblast of cardiac tissue
2712.817857142857,5039.571428571428,neuronal receptor cell
2711.6541666666667,6317.333333333333,cardiac muscle myoblast
3297.297450424929,3245.603399433428,cardiac muscle myoblast
2672.7939698492464,7913.527638190954,cardiac muscle myoblast
2833.5530726256984,7351.480446927374,cardiac muscle myoblast
5905.464566929134,3481.326771653544,fibroblast of cardiac tissue
2102.5,7279.804347826087,cardiac muscle myoblast
4802.121212121212,6191.160173160173,cardiac muscle myoblast
1709.6884816753927,7761.897905759162,cardiac muscle myoblast
8502.059259259258,4674.166666666667,cardiac muscle myoblast
8563.119047619048,4259.019841269841,cardiac muscle myoblast
5719.906474820144,1796.8345323741007,cardiac endothelial cell
3423.465189873418,1120.367088607595,cardiac muscle myoblast
8194.10163339383,4834.234119782214,cardiac muscle myoblast
4639.697841726619,1239.18345323741,cardiac endothelial cell
