x,y,diameter
6025.0,2392.0,77.28161776150627
1194.0,5942.0,77.28161776150627
6999.0,7318.0,77.28161776150627
2305.0,2900.0,77.28161776150627
5350.0,7927.0,77.28161776150627
5761.0,7685.0,77.28161776150627
8435.0,5878.0,77.28161776150627
7320.0,8444.0,77.28161776150627
7165.0,2679.0,77.28161776150627
5501.0,1624.0,77.28161776150627
5236.0,6798.0,77.28161776150627
6263.0,5957.0,77.28161776150627
7586.0,3508.0,77.28161776150627
4724.0,7338.0,77.28161776150627
1494.0,4691.0,77.28161776150627
6904.0,8210.0,77.28161776150627
4485.0,3773.0,77.28161776150627
7582.0,3032.0,77.28161776150627
7806.0,4933.0,77.28161776150627
7697.0,4280.0,77.28161776150627
3226.0,1763.0,77.28161776150627
5526.0,4477.0,77.28161776150627
7520.0,7729.0,77.28161776150627
5551.0,7331.0,77.28161776150627
7525.0,8324.0,77.28161776150627
8195.0,2194.0,77.28161776150627
1916.0,5639.0,77.28161776150627
3898.0,7583.0,77.28161776150627
3532.0,1225.0,77.28161776150627
7722.0,7133.0,77.28161776150627
7291.0,5234.0,77.28161776150627
6567.0,5181.0,77.28161776150627
3357.0,4794.0,77.28161776150627
3375.0,6934.0,77.28161776150627
6168.0,6849.0,77.28161776150627
1914.0,5401.0,77.28161776150627
4726.0,7576.0,77.28161776150627
5408.0,2873.0,77.28161776150627
5201.0,2756.0,77.28161776150627
2309.0,3257.0,77.28161776150627
4053.0,1637.0,77.28161776150627
5732.0,4356.0,77.28161776150627
4575.0,2167.0,77.28161776150627
6347.0,3756.0,77.28161776150627
7584.0,3270.0,77.28161776150627
6800.0,8152.0,77.28161776150627
5428.0,5132.0,77.28161776150627
6336.0,2449.0,77.28161776150627
3021.0,1883.0,77.28161776150627
2549.0,7060.0,77.28161776150627
2215.0,4387.0,77.28161776150627
5966.0,7446.0,77.28161776150627
4293.0,5439.0,77.28161776150627
3596.0,8477.0,77.28161776150627
1085.0,5289.0,77.28161776150627
4393.0,5022.0,77.28161776150627
4214.0,8234.0,77.28161776150627
2310.0,3376.0,77.28161776150627
3547.0,2889.0,77.28161776150627
4467.0,1633.0,77.28161776150627
6579.0,6608.0,77.28161776150627
1414.0,7367.0,77.28161776150627
5751.0,6496.0,77.28161776150627
3781.0,5979.0,77.28161776150627
7197.0,6246.0,77.28161776150627
3893.0,6988.0,77.28161776150627
6133.0,2926.0,77.28161776150627
1803.0,4629.0,77.28161776150627
5550.0,7212.0,77.28161776150627
1509.0,6474.0,77.28161776150627
6993.0,6604.0,77.28161776150627
2423.0,4505.0,77.28161776150627
3890.0,6632.0,77.28161776150627
5916.0,1739.0,77.28161776150627
3647.0,2591.0,77.28161776150627
7825.0,7073.0,77.28161776150627
1208.0,7488.0,77.28161776150627
7499.0,5351.0,77.28161776150627
4618.0,7041.0,77.28161776150627
7624.0,7788.0,77.28161776150627
2339.0,6705.0,77.28161776150627
2438.0,6169.0,77.28161776150627
6692.0,7618.0,77.28161776150627
7814.0,5884.0,77.28161776150627
6743.0,1732.0,77.28161776150627
4994.0,2758.0,77.28161776150627
1697.0,4333.0,77.28161776150627
3352.0,4318.0,77.28161776150627
5616.0,2990.0,77.28161776150627
2114.0,4686.0,77.28161776150627
7277.0,3570.0,77.28161776150627
4568.0,1454.0,77.28161776150627
6456.0,4409.0,77.28161776150627
2513.0,3017.0,77.28161776150627
6902.0,7973.0,77.28161776150627
6350.0,4113.0,77.28161776150627
2430.0,5337.0,77.28161776150627
3349.0,3961.0,77.28161776150627
2921.0,2300.0,77.28161776150627
7809.0,5289.0,77.28161776150627
3252.0,4616.0,77.28161776150627
6443.0,2864.0,77.28161776150627
6030.0,2986.0,77.28161776150627
5748.0,6140.0,77.28161776150627
5849.0,5961.0,77.28161776150627
989.0,6063.0,77.28161776150627
3368.0,6101.0,77.28161776150627
8400.0,1955.0,77.28161776150627
1794.0,3559.0,77.28161776150627
4591.0,4069.0,77.28161776150627
3177.0,7887.0,77.28161776150627
5709.0,1741.0,77.28161776150627
1295.0,5644.0,77.28161776150627
6564.0,4825.0,77.28161776150627
4814.0,5851.0,77.28161776150627
7064.0,2977.0,77.28161776150627
2100.0,3021.0,77.28161776150627
4478.0,2941.0,77.28161776150627
6367.0,6015.0,77.28161776150627
